"StartTime","internal_node_id","phase","rt","subject","time_elapsed","trial_index","trial_type","url","key_press","stimulus","success","fullscreen","responses","colour","cor_response","correct","stim_type","word"
1752000485255,"0.0-0.0","Consent",4357.70000000298,"89jspm8wedn358v",4369,0,"external-html","forms/consent.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1752000485255,"0.0-2.0","Welcome",3173.09999999404,"89jspm8wedn358v",7544,1,"html-keyboard-response",NA,74,"<p>Welcome to the experiment. This experiment should take no longer than 5 minutes.</p> <p>Press any key to begin.</p>",NA,NA,NA,NA,NA,NA,NA,NA
1752000485255,"0.0-3.0",NA,NA,"89jspm8wedn358v",14238,2,"fullscreen",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
1752000485255,"0.0-4.0-0.0","Instructions",2153.40000000596,"89jspm8wedn358v",16394,3,"html-keyboard-response",NA,74,"<p>Please read these instructions carefully.</p><p>In this 'experiment' you will be presented with words in coloured text. You will be identifying the colour of that text by pressing keys on the keyboard. J = Red, K = Yellow, L = Green. Please use just your dominant hand to make responses. Also, when prompted to provide a word, respond by typing in the word 'clean'. You will have 2 seconds to respond to each stimuli.</p><p>Press any key to begin.</p>",NA,FALSE,NA,NA,NA,NA,NA,NA
1752000485255,"0.0-4.0-1.0","Attention_Check",3254.40000000596,"89jspm8wedn358v",20657,4,"survey-text",NA,NA,NA,NA,FALSE,"{""Attention_check"":""clean""}",NA,NA,NA,NA,NA
1752000485255,"0.0-5.0","Fixation",NA,"89jspm8wedn358v",24424,5,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>",NA,NA,NA,NA,NA,NA,NA,NA
1752000485255,"0.0-6.0-0.0","Fixation",NA,"89jspm8wedn358v",24688,6,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>",NA,NA,NA,NA,NA,NA,NA,NA
1752000485255,"0.0-6.0-1.0","Practice",842.70000000298,"89jspm8wedn358v",25532,7,"html-keyboard-response",NA,74,"<p id = 'contingency_stim', style = 'color: red; font-size: 60pt;'>YELLOW</p>",NA,NA,NA,"red","j",TRUE,"Practice","YELLOW"
1752000485255,"0.0-6.0-2.0","Feedback",NA,"89jspm8wedn358v",25535,8,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>",NA,NA,NA,NA,NA,NA,NA,NA
1752000485255,"0.0-6.0-0.1","Fixation",NA,"89jspm8wedn358v",25799,9,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>",NA,NA,NA,NA,NA,NA,NA,NA
1752000485255,"0.0-6.0-1.1","Practice",964.5,"89jspm8wedn358v",26764,10,"html-keyboard-response",NA,76,"<p id = 'contingency_stim', style = 'color: green; font-size: 60pt;'>GREEN</p>",NA,NA,NA,"green","l",TRUE,"Practice","GREEN"
